question,answer
What is the capital of France?,Paris
What is 2 + 2?,4
Who wrote Romeo and Juliet?,William Shakespeare
What is the largest planet in our solar system?,Jupiter
What does HTML stand for?,HyperText Markup Language
What year was Python first released?,1991
What is the chemical symbol for water?,H2O
Who painted the Mona Lisa?,Leonardo da Vinci
What is the square root of 64?,8
What programming language is known for its use in data science?,Python
What does CPU stand for?,Central Processing Unit
What is the speed of light in a vacuum?,299792458 meters per second
Who developed the theory of relativity?,Albert Einstein
What is the smallest unit of matter?,Atom
What does API stand for?,Application Programming Interface
